"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "JSON", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\jserr\Desktop\dexter-backup\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\jserr\Desktop\dexter-backup\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 17, 40
"c:\Users\jserr\Desktop\dexter-backup\components\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"c:\Users\jserr\Desktop\dexter-backup\components\librarylayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"c:\Users\jserr\Desktop\dexter-backup\components\ui\LoadingDots.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\jserr\Desktop\dexter-backup\components\ui\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 193, 0, 0, 0, 6, 29, 228
"c:\Users\jserr\Desktop\dexter-backup\components\ui\TextArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\jserr\Desktop\dexter-backup\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\jserr\Desktop\dexter-backup\config\pinecone.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\jserr\Desktop\dexter-backup\declarations\pdf-parse.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\jserr\Desktop\dexter-backup\lib\db.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\jserr\Desktop\dexter-backup\next.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\jserr\Desktop\dexter-backup\package-lock.json", "JSON", 0, 0, 0, 0, 0, 17364, 0, 0, 0, 1, 17365
"c:\Users\jserr\Desktop\dexter-backup\package.json", "JSON", 0, 0, 0, 0, 0, 84, 0, 0, 0, 1, 85
"c:\Users\jserr\Desktop\dexter-backup\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\jserr\Desktop\dexter-backup\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jserr\Desktop\dexter-backup\pages\api\chat.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 7, 26, 103
"c:\Users\jserr\Desktop\dexter-backup\pages\api\data.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 17, 6, 40
"c:\Users\jserr\Desktop\dexter-backup\pages\api\database.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\jserr\Desktop\dexter-backup\pages\api\submit-apa.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 2, 5, 21
"c:\Users\jserr\Desktop\dexter-backup\pages\api\upload.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 4, 19, 72
"c:\Users\jserr\Desktop\dexter-backup\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 609, 0, 0, 0, 25, 131, 765
"c:\Users\jserr\Desktop\dexter-backup\pages\papers.tsx", "TypeScript JSX", 0, 0, 0, 0, 194, 0, 0, 0, 0, 41, 235
"c:\Users\jserr\Desktop\dexter-backup\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3233, 0, 468, 3701
"c:\Users\jserr\Desktop\dexter-backup\postcss.config.cjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jserr\Desktop\dexter-backup\scripts\ingest-data.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 11, 11, 73
"c:\Users\jserr\Desktop\dexter-backup\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 448, 0, 21, 100, 569
"c:\Users\jserr\Desktop\dexter-backup\styles\LoginForm.css", "CSS", 0, 0, 0, 0, 0, 0, 100, 0, 0, 19, 119
"c:\Users\jserr\Desktop\dexter-backup\styles\base.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\jserr\Desktop\dexter-backup\styles\chrome-bug.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\jserr\Desktop\dexter-backup\styles\loading-dots.module.css", "CSS", 0, 0, 0, 0, 0, 0, 81, 0, 4, 17, 102
"c:\Users\jserr\Desktop\dexter-backup\tailwind.config.cjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\jserr\Desktop\dexter-backup\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 2, 1, 30
"c:\Users\jserr\Desktop\dexter-backup\types\chat.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\jserr\Desktop\dexter-backup\utils\cn.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\jserr\Desktop\dexter-backup\utils\customPDFLoader.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 65, 8, 130
"c:\Users\jserr\Desktop\dexter-backup\utils\makechain.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 2, 11, 65
"c:\Users\jserr\Desktop\dexter-backup\utils\openai-client.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\jserr\Desktop\dexter-backup\utils\pinecone-client.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"Total", "-", 27, 25, 375, 23, 1211, 17451, 635, 3233, 168, 979, 24127
